symbol,name,reported_date,reported_period,eps_estimate,revenue,market_cap,dividend,earning,basic_eps,net_income,fy_revenue,shares,beta,employees,change,emp_revenue,emp_income,sector,industry,ceo,website,headquater,founded,figi
CSW,"CSW Industrials, Inc.",—,,2.79 USD,—,‪5.23 B‬ USD,0.35%,36.02,8.45 USD,‪136.65 M‬ USD,‪878.30 M‬ USD,‪16.58 M‬,1.73,‪2.6 K‬,,‪337.81 K‬ USD,‪52.56 K‬ USD,Process Industries,Industrial Specialties,Joseph B. Armes,cswindustrials.com,Dallas,2014,BBG007NLG4L3
CSWC,Capital Southwest Corporation,—,,—,—,‪1.15 B‬ USD,11.02%,14.96,1.49 USD,‪69.86 M‬ USD,‪157.73 M‬ USD,‪51.37 M‬,0.65,30,,‪5.26 M‬ USD,‪2.33 M‬ USD,Finance,Investment Managers,Sarner Michael S,capitalsouthwest.com,Dallas,1961,BBG000BGJ661
CSX,CSX Corporation,—,,—,—,‪60.55 B‬ USD,1.61%,19.21,1.68 USD,‪3.47 B‬ USD,‪14.54 B‬ USD,‪1.87 B‬,0.75,‪23.5 K‬,,‪618.72 K‬ USD,‪147.66 K‬ USD,Transportation,Railroads,Joseph R. Hinrichs,csx.com,Jacksonville,1827,BBG000BGJRC8
CTAS,Cintas Corporation,—,,,,—,—,1.07 USD,‪2.63 B‬ USD,,,,,‪89.63 B‬ USD,,51.24,4.38 USD,,,,,,,
CTBI,"Community Trust Bancorp, Inc.",—,,1.26 USD,—,‪951.37 M‬ USD,3.61%,10.89,4.79 USD,‪82.81 M‬ USD,‪374.43 M‬ USD,‪17.48 M‬,0.81,934,−33 −3.41%,‪400.88 K‬ USD,‪88.66 K‬ USD,Finance,Regional Banks,Mark A. Gooch,ctbi.com,Pikeville,1903,BBG000F4J227
CTEV,Claritev Corporation,—,,—,—,‪650.22 M‬ USD,—,—,−72.94 USD,‪−1.65 B‬ USD,‪930.62 M‬ USD,‪7.30 M‬,19.41,‪2.7 K‬,−100 −3.57%,‪344.68 K‬ USD,‪−609.57 K‬ USD,Technology Services,Data Processing Services,Travis S. Dalton,multiplan.us,McLean,1980,BBG00RLZ9M74
CTGO,"Contango ORE, Inc.",—,,—,—,‪255.84 M‬ USD,—,—,−3.71 USD,‪−38.03 M‬ USD,0.00 USD,‪8.34 M‬,0.69,12,,0.00 USD,‪−3.17 M‬ USD,Non-Energy Minerals,Precious Metals,Rick van Nieuwenhuyse,contangoore.com,Fairbanks,2010,BBG0016YSLB7
CTKB,"Cytek Biosciences, Inc.",—,,—,—,‪435.71 M‬ USD,—,—,−0.09 USD,‪−6.02 M‬ USD,‪200.45 M‬ USD,‪114.67 M‬,1.07,648,−28 −4.14%,‪309.34 K‬ USD,‪−9.29 K‬ USD,Health Technology,Medical Specialties,Wen Bin Jiang,cytekbio.com,Fremont,1992,BBG00D36Q0Z7
CTLP,"Cantaloupe, Inc.",—,,—,—,‪686.02 M‬ USD,—,11.19,0.81 USD,‪11.99 M‬ USD,‪268.60 M‬ USD,‪66.00 M‬,0.90,359,,‪748.18 K‬ USD,‪33.41 K‬ USD,Commercial Services,Miscellaneous Commercial Services,Ravi Venkatesan,cantaloupe.com,Malvern,1992,BBG000H825F3
CTM,"Castellum, Inc.",—,,—,—,‪109.27 M‬ USD,—,—,−0.12 USD,‪−9.98 M‬ USD,‪44.76 M‬ USD,‪58.21 M‬,1.36,238,−22 −8.46%,‪188.09 K‬ USD,‪−41.93 K‬ USD,Process Industries,Chemicals: Major Diversified,Glen R. Ives,castellumus.com,Vienna,2010,BBG001J7M0W1
CTMX,"CytomX Therapeutics, Inc.",—,,—,—,‪415.92 M‬ USD,—,5.32,0.50 USD,‪31.87 M‬ USD,‪138.10 M‬ USD,‪131.09 M‬,3.49,121,−1 −0.82%,‪1.14 M‬ USD,‪263.38 K‬ USD,Health Technology,Pharmaceuticals: Major,Sean A. McCarthy,cytomx.com,South San Francisco,2010,BBG001J472L3
CTNM,"Contineum Therapeutics, Inc.",—,,—,—,‪115.90 M‬ USD,—,—,−1.93 USD,‪−42.26 M‬ USD,0.00 USD,‪13.50 M‬,0.70,41,,0.00 USD,‪−1.03 M‬ USD,Health Technology,Biotechnology,Carmine N. Stengone,contineum-tx.com,San Diego,2017,BBG01M27SVP6
CTNT,Cheetah Net Supply Chain Service Inc.,—,,—,—,‪5.28 M‬ USD,—,—,−2.05 USD,‪−5.19 M‬ USD,‪455.81 K‬ USD,‪1.98 M‬,1.92,15,−5 −25.00%,‪30.39 K‬ USD,‪−215.48 K‬ USD,Industrial Services,Engineering & Construction,Hu An Liu,cheetah-net.com,Irvine,2016,BBG01G66JNZ4
CTOR,"Citius Oncology, Inc.",—,,—,—,‪75.14 M‬ USD,—,—,—,‪−21.15 M‬ USD,0.00 USD,‪3.52 M‬,−0.10,Industry,,,,,,,,,,
CTOS,"Custom Truck One Source, Inc.",—,,−0.05 USD,—,‪1.06 B‬ USD,—,—,−0.14 USD,‪−28.66 M‬ USD,‪1.80 B‬ USD,‪64.48 M‬,1.61,‪2.62 K‬,,‪688.16 K‬ USD,‪−10.94 K‬ USD,Finance,Finance/Rental/Leasing,Ryan McMonagle,customtruck.com,Kansas City,1996,BBG00HLCWDF2
CTRA,Coterra Energy Inc.,—,,—,—,‪19.52 B‬ USD,3.36%,14.93,1.72 USD,‪1.12 B‬ USD,‪5.46 B‬ USD,‪751.04 M‬,0.74,915,,‪5.97 M‬ USD,‪1.23 M‬ USD,Energy Minerals,Integrated Oil,Thomas E. Jorden,coterra.com,Houston,1989,BBG000C3GN47
CTRI,"Centuri Holdings, Inc.",—,,—,—,‪2.01 B‬ USD,—,"2,156.19",0.01 USD,‪−6.72 M‬ USD,‪2.64 B‬ USD,‪24.48 M‬,1.21,‪8.69 K‬,‪−3.88 K‬ −30.90%,‪303.58 K‬ USD,−774.03 USD,Utilities,Gas Distributors,Christian Ian Brown,centuri.com,Phoenix,1909,BBG01M4ZP8Y6
CTRM,Castor Maritime Inc.,‪21.84 M‬ USD,,2.50,3.50 USD,Industry,,,,,,,,Revenue to profit conversion,,,,,,,,,,
CTRN,"Citi Trends, Inc.",—,,—,—,‪278.79 M‬ USD,—,—,−5.18 USD,‪−43.17 M‬ USD,‪753.08 M‬ USD,‪7.26 M‬,1.57,‪2.6 K‬,−100 −3.70%,‪289.65 K‬ USD,‪−16.60 K‬ USD,Retail Trade,Apparel/Footwear Retail,Kenneth Duane Seipel,cititrends.com,Savannah,1946,BBG000BRLWY6
CTS,CTS Corporation,—,,0.55 USD,—,‪1.30 B‬ USD,0.38%,21.71,2.00 USD,‪58.11 M‬ USD,‪515.54 M‬ USD,‪29.02 M‬,1.43,‪3.55 K‬,−532 −13.04%,‪145.26 K‬ USD,‪16.37 K‬ USD,Electronic Technology,Electronic Production Equipment,Kieran M. O'Sullivan,ctscorp.com,Lisle,1896,BBG000BGMC46
CTSH,Cognizant Technology Solutions Corporation,—,,—,—,‪39.57 B‬ USD,1.54%,16.90,4.76 USD,‪2.24 B‬ USD,‪19.74 B‬ USD,‪490.35 M‬,0.86,‪336.8 K‬,‪−10.9 K‬ −3.13%,‪58.60 K‬ USD,‪6.65 K‬ USD,Technology Services,Information Technology Services,Ravi Kumar Singisetti,cognizant.com,Teaneck,1988,BBG000BBDV81
CTSO,Cytosorbents Corporation,—,,—,—,‪67.62 M‬ USD,—,—,−0.29 USD,‪−20.72 M‬ USD,‪35.59 M‬ USD,‪51.94 M‬,0.38,149,−37 −19.89%,‪238.89 K‬ USD,‪−139.05 K‬ USD,Health Technology,Medical Specialties,Phillip P. Chan,cytosorbents.com,Princeton,1997,BBG000C3P8V0
CTVA,"Corteva, Inc.",—,,—,—,‪48.87 B‬ USD,0.95%,43.68,1.65 USD,‪907.00 M‬ USD,‪16.91 B‬ USD,‪680.88 M‬,0.72,‪22 K‬,−500 −2.22%,‪768.55 K‬ USD,‪38.68 K‬ USD,Process Industries,Agricultural Commodities/Milling,Charles V. Magro,corteva.com,Indianapolis,1802,BBG00BN969C1
CTXR,"Citius Pharmaceuticals, Inc.",—,,—,—,‪14.10 M‬ USD,—,—,−5.73 USD,‪−39.14 M‬ USD,0.00 USD,‪9.70 M‬,1.69,23,,0.00 USD,‪−1.70 M‬ USD,Health Technology,Medical Specialties,Leonard L. Mazur,citiuspharma.com,Cranford,2007,BBG001QQH2N3
CUB,Lionheart Holdings,‪322.61 M‬ USD,,40.11,0.26 USD,Industry,,,,,,,,Revenue to profit conversion,,,,,,,,,,
CUBI,"Customers Bancorp, Inc",—,,1.54 USD,—,‪1.71 B‬ USD,—,13.70,4.12 USD,‪181.47 M‬ USD,‪1.37 B‬ USD,‪28.97 M‬,1.42,787,,‪1.75 M‬ USD,‪230.58 K‬ USD,Finance,Regional Banks,Jay S. Sidhu,customersbank.com,West Reading,1997,BBG0023XX761
CUE,"Cue Biopharma, Inc.",—,,—,—,‪48.30 M‬ USD,—,—,−0.6647 USD,‪−40.67 M‬ USD,‪9.29 M‬ USD,‪74.78 M‬,1.68,41,−12 −22.64%,‪226.51 K‬ USD,‪−992.05 K‬ USD,Health Technology,Biotechnology,Daniel R. Passeri,cuebiopharma.com,Boston,2014,BBG00FVMPFN7
CULP,"Culp, Inc.",—,,—,—,‪51.62 M‬ USD,—,—,−1.75 USD,‪−13.82 M‬ USD,‪225.33 M‬ USD,‪11.20 M‬,0.69,‪1 K‬,−333 −24.98%,‪225.33 K‬ USD,‪−13.82 K‬ USD,Process Industries,Textiles,Robert George Culp,culp.com,High Point,1972,BBG000BFF550
CUPR,Cuprina Holdings (Cayman) Limited,‪128.70 M‬ USD,,—,−0.05 USD,14,0,‪2.58 K‬ USD,‪−83.41 K‬ USD,,,,,Industry,,,,,,"H1 '24
H2 '24",,,,
CURI,CuriosityStream Inc.,—,,—,—,‪326.05 M‬ USD,5.66%,—,−0.14 USD,‪−12.94 M‬ USD,‪51.13 M‬ USD,‪29.94 M‬,0.95,45,−3 −6.25%,‪1.14 M‬ USD,‪−287.58 K‬ USD,Consumer Services,Movies/Entertainment,Clint Stinchcomb,curiositystream.com,Silver Spring,2008,BBG00QS5N3V4
CURR,Currenc Group Inc.,—,,—,—,‪23.64 M‬ USD,—,—,−0.8403 USD,‪−39.48 M‬ USD,‪46.44 M‬ USD,‪18.91 M‬,−1.55,333,,‪139.45 K‬ USD,‪−118.54 K‬ USD,Finance,Regional Banks,Ka Wah Hui,investors.currencgroup.com,Singapore,2011,BBG011KCRF95
CURV,Torrid Holdings Inc.,—,,—,—,‪522.68 M‬ USD,—,52.22,0.10 USD,‪16.32 M‬ USD,‪1.10 B‬ USD,‪20.13 M‬,0.85,‪7.59 K‬,−30 −0.39%,‪145.42 K‬ USD,‪2.15 K‬ USD,Retail Trade,Apparel/Footwear Retail,Lisa M. Harper,torrid.com,City of Industry,2015,BBG011C0PCJ8
CVAC,CureVac N.V.,—,,—,—,‪970.42 M‬ USD,—,4.89,0.91 USD,‪175.44 M‬ USD,‪578.90 M‬ USD,‪93.99 M‬,1.38,983,−189 −16.13%,‪588.91 K‬ USD,‪178.47 K‬ USD,Health Technology,Biotechnology,Alexander Zehnder,curevac.com,Tübingen,2020,NL0015436031
CVBF,CVB Financial Corporation,—,,—,—,‪2.67 B‬ USD,4.18%,13.08,1.45 USD,‪199.27 M‬ USD,‪684.38 M‬ USD,‪129.36 M‬,0.93,‪1.09 K‬,−18 −1.63%,‪628.44 K‬ USD,‪182.99 K‬ USD,Finance,Regional Banks,David A. Brager,cbbank.com,Ontario,1981,BBG000JTYFB2
CVCO,"Cavco Industries, Inc.",—,,—,—,‪3.44 B‬ USD,—,20.65,20.99 USD,‪171.04 M‬ USD,‪2.02 B‬ USD,‪7.53 M‬,0.70,‪7 K‬,,‪287.92 K‬ USD,‪24.43 K‬ USD,Consumer Durables,Homebuilding,William C. Boor,cavco.com,Phoenix,1965,BBG000K4WS65
CVEO,Civeo Corporation (Canada),"≈
July 25",Q2 2025,0.08 USD,‪166.38 M‬ USD,‪314.81 M‬ USD,4.38%,—,−1.61 USD,‪−17.07 M‬ USD,‪682.12 M‬ USD,‪12.14 M‬,0.00,‪2 K‬,,‪341.06 K‬ USD,‪−8.53 K‬ USD,Consumer Services,Hotels/Resorts/Cruise lines,Bradley J. Dodson,civeo.com,Houston,1977,BBG009KJ2H24
CVGI,"Commercial Vehicle Group, Inc.",—,,—,—,‪51.61 M‬ USD,—,—,−1.05 USD,‪−27.87 M‬ USD,‪723.36 M‬ USD,‪29.43 M‬,0.98,‪6.9 K‬,‪−1.3 K‬ −15.85%,‪104.83 K‬ USD,‪−5.18 K‬ USD,Producer Manufacturing,Trucks/Construction/Farm Machinery,James R. Ray,cvgrp.com,New Albany,2000,BBG000PZ0SW7
CVGW,"Calavo Growers, Inc.",—,,—,—,‪493.71 M‬ USD,2.89%,52.52,0.53 USD,‪−1.27 M‬ USD,‪661.54 M‬ USD,‪16.63 M‬,0.85,‪2.11 K‬,−958 −31.27%,‪314.12 K‬ USD,‪3.23 K‬ USD,Process Industries,Agricultural Commodities/Milling,Lecil E. Cole,calavo.com,Santa Paula,1924,BBG000BGPQW1
CVI,CVR Energy Inc.,—,,—,—,‪2.49 B‬ USD,8.40%,—,−1.97 USD,‪7.00 M‬ USD,‪7.61 B‬ USD,‪30.11 M‬,1.48,‪1.59 K‬,,‪4.77 M‬ USD,‪4.39 K‬ USD,Energy Minerals,Oil Refining/Marketing,David L. Lamp,cvrenergy.com,Sugar Land,1906,BBG000QHV8S1
CVKD,"Cadrenal Therapeutics, Inc.",—,,−1.77 USD,0.00 USD,‪29.30 M‬ USD,—,—,−9.25 USD,‪−10.65 M‬ USD,0.00 USD,‪1.33 M‬,0.81,4,,0.00 USD,‪−2.66 M‬ USD,Health Technology,Biotechnology,Quang X. Pham,cadrenal.com,Ponte Vedra Beach,2022,BBG019STRT20
CVLG,"Covenant Logistics Group, Inc.",—,,0.43 USD,—,‪625.92 M‬ USD,1.58%,16.52,1.46 USD,‪35.92 M‬ USD,‪1.13 B‬ USD,‪15.94 M‬,1.19,‪4.8 K‬,,‪235.72 K‬ USD,‪7.36 K‬ USD,Transportation,Trucking,David Ray Parker,covenantlogistics.com,Chattanooga,1986,BBG000DNYKG5
CVLT,"Commvault Systems, Inc.",—,,0.97 USD,—,‪8.24 B‬ USD,—,113.21,1.73 USD,‪76.11 M‬ USD,‪995.62 M‬ USD,‪43.30 M‬,1.30,‪3.3 K‬,,‪301.70 K‬ USD,‪23.06 K‬ USD,Technology Services,Packaged Software,Sanjay Mirchandani,commvault.com,Tinton Falls,1996,BBG000BG88X9
CVM,Cel-Sci Corporation,—,,—,—,‪13.04 M‬ USD,—,—,−12.26 USD,‪−26.92 M‬ USD,0.00 USD,‪5.01 M‬,1.70,Industry,,,,,,"Q2 '24
Q3 '24
Q4 '24
Q1 '25
Q2 '25",,,,
CVNA,Carvana Co.,—,,,,—,—,—,—,,,,,‪71.47 B‬ USD,,119.55,3.06 USD,,,,,,,
CVR,Chicago Rivet & Machine Co.,‪12.79 M‬ USD,,—,−4.67 USD,161,−46 −22.22%,‪167.62 K‬ USD,‪−34.88 K‬ USD,,,,,Industry,−46 −22.22%,,,,,"Q1 '24
Q2 '24
Q3 '24
Q4 '24
Q1 '25",,,,
CVRX,"CVRx, Inc.",—,,−0.52 USD,—,‪167.65 M‬ USD,—,—,−2.19 USD,‪−59.97 M‬ USD,‪51.29 M‬ USD,‪15.50 M‬,1.02,206,,‪248.99 K‬ USD,‪−291.09 K‬ USD,Health Technology,Medical Specialties,Kevin Hykes,cvrx.com,Minneapolis,BBG001B56NX0,
CVS,CVS Health Corporation,—,,—,—,‪80.78 B‬ USD,4.17%,15.19,4.19 USD,‪4.61 B‬ USD,‪372.69 B‬ USD,‪1.26 B‬,0.57,‪300 K‬,,‪1.24 M‬ USD,‪15.38 K‬ USD,Health Services,Medical/Nursing Services,J. David Joyner,cvshealth.com,Woonsocket,1963,BBG000BGRY34
CVU,"CPI Aerostructures, Inc.",—,,—,—,‪38.61 M‬ USD,—,20.92,0.14 USD,‪3.30 M‬ USD,‪81.08 M‬ USD,‪9.43 M‬,1.04,212,,‪382.45 K‬ USD,‪15.56 K‬ USD,Electronic Technology,Aerospace & Defense,Dorith Hakim,cpiaero.com,Edgewood,1980,BBG000GZFVB7
CVV,CVD Equipment Corporation,‪21.54 M‬ USD,,—,−0.01 USD,118,−10 −7.81%,‪227.76 K‬ USD,‪−16.08 K‬ USD,,,,,Industry,−10 −7.81%,,,,,,,,,
CVX,Chevron Corporation,—,,,,—,—,—,—,,,,,‪244.86 B‬ USD,−302 −0.66%,16.08,8.76 USD,,,,,,,
CW,Curtiss-Wright Corporation,—,,3.11 USD,‪854.34 M‬ USD,‪16.95 B‬ USD,0.21%,40.25,11.31 USD,‪404.98 M‬ USD,‪3.12 B‬ USD,‪37.51 M‬,1.27,‪8.8 K‬,,‪354.68 K‬ USD,‪46.02 K‬ USD,Electronic Technology,Aerospace & Defense,Lynn M. Bamford,curtisswright.com,Davidson,1929,BBG000BGSPS5
CWAN,"Clearwater Analytics Holdings, Inc.","≈
July 30",Q2 2025,0.10 USD,‪170.08 M‬ USD,‪6.99 B‬ USD,—,14.54,1.89 USD,‪424.38 M‬ USD,‪451.80 M‬ USD,‪241.06 M‬,0.83,‪1.92 K‬,,‪235.93 K‬ USD,‪221.61 K‬ USD,Technology Services,Packaged Software,Sandeep Sahai,clearwateranalytics.com,Boise,2004,BBG012C765L4
CWBC,Community West Bancshares,—,,—,—,‪348.06 M‬ USD,2.63%,27.96,0.65 USD,‪7.67 M‬ USD,‪166.83 M‬ USD,‪16.71 M‬,0.80,346,,‪482.16 K‬ USD,‪22.16 K‬ USD,Finance,Regional Banks,James J. Kim,cvcb.com,Fresno,1979,BBG000MZYM65
CWCO,Consolidated Water Co. Ltd.,—,,—,—,‪433.25 M‬ USD,1.98%,17.06,1.67 USD,‪16.10 M‬ USD,‪133.97 M‬ USD,‪14.92 M‬,0.52,307,,‪436.37 K‬ USD,‪58.25 K‬ USD,Utilities,Water Utilities,Frederick W. McTaggart,cwco.com,George Town,1973,BBG000K8PTB6
CWD,CaliberCos Inc.,—,,—,—,‪4.82 M‬ USD,—,—,−18.17 USD,‪−19.70 M‬ USD,‪51.12 M‬ USD,‪617.34 K‬,0.67,81,−18 −18.18%,‪631.10 K‬ USD,‪−243.15 K‬ USD,Finance,Investment Managers,John Christopher Loeffler,caliberco.com,Scottsdale,2009,BBG019WPQGK2
CWEN,"Clearway Energy, Inc.",—,,—,—,‪6.10 B‬ USD,5.61%,38.12,0.80 USD,‪88.00 M‬ USD,‪1.59 B‬ USD,‪81.84 M‬,0.41,60,−1 −1.64%,‪26.50 M‬ USD,‪1.47 M‬ USD,Utilities,Alternative Power Generation,Craig Cornelius,clearwayenergy.com,Princeton,2012,BBG008LJ4TF3
CWH,"Camping World Holdings, Inc.",—,,—,—,‪1.90 B‬ USD,2.80%,—,−0.42 USD,‪−38.64 M‬ USD,‪6.10 B‬ USD,‪58.88 M‬,1.86,‪13.06 K‬,,‪467.07 K‬ USD,‪−2.96 K‬ USD,Retail Trade,Specialty Stores,Marcus Anthony Lemonis,campingworld.com,Lincolnshire,1966,BBG00D2Z7X83
CWK,Cushman & Wakefield plc,—,,—,—,‪2.40 B‬ USD,—,14.97,0.71 USD,‪131.30 M‬ USD,‪9.45 B‬ USD,‪228.63 M‬,1.44,‪52 K‬,,‪181.66 K‬ USD,‪2.52 K‬ USD,Finance,Real Estate Development,Michelle M. MacKay,cushmanwakefield.co.uk,London,2018,GB00BFZ4N465
CWST,"Casella Waste Systems, Inc.",—,,—,—,‪7.44 B‬ USD,—,533.38,0.22 USD,‪13.54 M‬ USD,‪1.56 B‬ USD,‪62.06 M‬,0.32,‪5.1 K‬,,‪305.35 K‬ USD,‪2.65 K‬ USD,Industrial Services,Environmental Services,John W. Casella,casella.com,Rutland,1975,BBG000BT0J38
CWT,California Water Service Group,—,,0.62 USD,—,‪2.80 B‬ USD,2.63%,20.25,2.28 USD,‪190.81 M‬ USD,‪1.04 B‬ USD,‪59.05 M‬,0.13,‪1.28 K‬,,‪811.27 K‬ USD,‪149.30 K‬ USD,Utilities,Water Utilities,Martin A. Kropelnicki,calwatergroup.com,San Jose,1926,BBG000D8KTN6
CXAI,CXApp Inc.,—,,—,—,‪21.30 M‬ USD,—,—,−0.98 USD,‪−19.41 M‬ USD,‪7.14 M‬ USD,‪14.91 M‬,−0.45,41,−5 −10.87%,‪174.20 K‬ USD,‪−473.37 K‬ USD,Technology Services,Packaged Software,Khurram P. Sheikh,cxapp.com,Palo Alto,2022,BBG00Z49NKK6
CXDO,"Crexendo, Inc.",—,,—,—,‪165.47 M‬ USD,—,70.46,0.09 USD,‪1.68 M‬ USD,‪60.84 M‬ USD,‪12.82 M‬,1.54,185,,‪328.85 K‬ USD,‪9.06 K‬ USD,Technology Services,Internet Software/Services,Jeffrey G. Korn,crexendo.com,Tempe,1995,BBG000GPDT80
CXM,"Sprinklr, Inc.",—,,—,—,‪2.25 B‬ USD,—,21.35,0.43 USD,‪121.61 M‬ USD,‪796.39 M‬ USD,‪101.04 M‬,0.97,‪3.59 K‬,−280 −7.24%,‪221.90 K‬ USD,‪33.88 K‬ USD,Technology Services,Packaged Software,Rory P. Read,sprinklr.com,New York,2009,BBG0043NCD05
CXT,"Crane NXT, Co.","≈
August 12",Q2 2025,0.97 USD,‪382.79 M‬ USD,‪3.25 B‬ USD,1.26%,19.12,2.94 USD,‪184.10 M‬ USD,‪1.49 B‬ USD,‪49.45 M‬,0.95,‪4.5 K‬,,‪330.40 K‬ USD,‪40.91 K‬ USD,Producer Manufacturing,Industrial Machinery,Aaron W. Saak,cranenxt.com,Waltham,BBG017BXPZ85,
CYBR,CyberArk Software Ltd.,—,,—,—,‪20.31 B‬ USD,—,—,−1.83 USD,‪−93.46 M‬ USD,‪1.00 B‬ USD,‪49.11 M‬,1.10,‪3.79 K‬,,‪263.84 K‬ USD,‪−24.64 K‬ USD,Technology Services,Packaged Software,Matthew Lessner Cohen,cyberark.com,Petach Tikva,1999,IL0011334468
CYCC,"Cyclacel Pharmaceuticals, Inc.",—,,—,—,‪8.24 M‬ USD,—,—,−48.9312 USD,‪−11.21 M‬ USD,‪43.00 K‬ USD,‪10.41 M‬,0.67,Industry,,,,,,"Q1 '24
Q2 '24
Q3 '24
Q4 '24
Q1 '25",,,,
CYCN,"Cyclerion Therapeutics, Inc.",—,,—,—,‪10.21 M‬ USD,—,—,−1.16 USD,‪−3.06 M‬ USD,‪2.00 M‬ USD,‪1.94 M‬,−0.40,1,,‪2.00 M‬ USD,‪−3.06 M‬ USD,Health Technology,Pharmaceuticals: Major,Regina Graul,cyclerion.com,Cambridge,2018,BBG00KXXHYD9
CYCU,"Cycurion, Inc.",‪12.93 M‬ USD,,—,−0.5956 USD,46,"+45 +4,500.00%",‪386.34 K‬ USD,‪26.73 K‬ USD,,,,,Industry,,,,,,"Q1 '24
Q2 '24
Q3 '24
Q4 '24
Q1 '25",,,,
CYD,China Yuchai International Limited,—,,—,—,‪714.35 M‬ USD,2.00%,16.18,1.11 USD,‪44.89 M‬ USD,‪2.66 B‬ USD,‪13.76 M‬,0.64,‪8.93 K‬,,‪297.72 K‬ USD,‪5.03 K‬ USD,Producer Manufacturing,Auto Parts: OEM,,,1993,BBG000BLSXG0,
CYH,"Community Health Systems, Inc.",—,,−0.09 USD,—,‪455.29 M‬ USD,—,—,−3.68 USD,‪−516.00 M‬ USD,‪12.63 B‬ USD,‪120.39 M‬,1.35,‪60 K‬,‪−1 K‬ −1.64%,‪210.57 K‬ USD,‪−8.60 K‬ USD,Health Services,Hospital/Nursing Management,Tim L. Hingtgen,chs.net,Franklin,1985,BBG000BDY3Y7
CYN,Cyngn Inc.,—,,—,—,‪8.20 M‬ USD,—,—,"−1,309.13 USD",‪−29.25 M‬ USD,‪368.14 K‬ USD,‪1.69 M‬,3.53,58,−23 −28.40%,‪6.35 K‬ USD,‪−504.35 K‬ USD,Technology Services,Packaged Software,Lior Tal,cyngn.com,Menlo Park,2013,BBG012DSHYT4
CYRX,"CryoPort, Inc.",—,,—,—,‪348.96 M‬ USD,—,—,−2.34 USD,‪−114.76 M‬ USD,‪228.38 M‬ USD,‪48.25 M‬,0.72,‪1.19 K‬,,‪192.57 K‬ USD,‪−96.76 K‬ USD,Transportation,Air Freight/Couriers,Jerrell W. Shelton,cryoport.com,Brentwood,1990,BBG000PNTXP0
CYTK,"Cytokinetics, Incorporated",—,,,,—,—,−1.42 USD,—,,,,,‪4.06 B‬ USD,,—,−5.31 USD,,,,,,,
CZFS,"Citizens Financial Services, Inc.",—,,—,—,‪287.58 M‬ USD,3.28%,10.27,5.98 USD,‪27.82 M‬ USD,‪169.51 M‬ USD,‪4.47 M‬,1.15,410,−12 −2.84%,‪413.43 K‬ USD,‪67.85 K‬ USD,Finance,Regional Banks,Randall E. Black,firstcitizensbank.com,Mansfield,BBG000BRX064,
CZNC,Citizens & Northern Corp,—,,—,—,‪290.68 M‬ USD,5.97%,10.66,1.74 USD,‪25.75 M‬ USD,‪157.29 M‬ USD,‪14.73 M‬,0.74,386,−18 −4.46%,‪407.48 K‬ USD,‪66.70 K‬ USD,Finance,Regional Banks,J. Bradley Scovill,cnbankpa.com,Wellsboro,1864,BBG000BRW8B2
CZR,"Caesars Entertainment, Inc.","≈
August 5",Q2 2025,0.15 USD,‪2.86 B‬ USD,‪5.82 B‬ USD,—,—,−1.10 USD,‪−278.00 M‬ USD,‪11.24 B‬ USD,‪195.02 M‬,1.63,‪50 K‬,‪−1 K‬ −1.96%,‪224.90 K‬ USD,‪−5.56 K‬ USD,Consumer Services,Casinos/Gaming,Thomas R. Reeg,caesars.com,Reno,1937,BBG0074Q3NK6
CZWI,"Citizens Community Bancorp, Inc.",—,,—,—,‪141.74 M‬ USD,2.54%,11.21,1.27 USD,‪13.75 M‬ USD,‪98.89 M‬ USD,‪9.03 M‬,0.46,232,,‪426.27 K‬ USD,‪59.27 K‬ USD,Finance,Regional Banks,Stephen M. Bianchi,ccf.us,Eau Claire,2004,BBG000NFKDB7
D,"Dominion Energy, Inc.",—,,—,—,‪47.56 B‬ USD,4.79%,20.92,2.67 USD,‪2.12 B‬ USD,‪14.34 B‬ USD,‪851.46 M‬,0.16,‪14.7 K‬,‪−3 K‬ −16.95%,‪975.71 K‬ USD,‪131.09 K‬ USD,Utilities,Electric Utilities,Robert M. Blue,dominionenergy.com,Richmond,1983,BBG000BGVW60
DAAQ,Digital Asset Acquisition Corp.,‪233.63 M‬ USD,,—,—,Industry,,,,,,,,Revenue to profit conversion,,,,,,,,,,
DAC,Danaos Corporation,—,,—,—,‪1.61 B‬ USD,3.95%,3.53,24.51 USD,‪505.07 M‬ USD,‪1.01 B‬ USD,‪9.33 M‬,0.79,‪2.13 K‬,,‪475.09 K‬ USD,‪237.68 K‬ USD,Transportation,Marine Shipping,John Coustas,danaos.com,Piraeus,1972,BBG000LSYD99
DAIO,Data I/O Corporation,"≈
July 24",Q2 2025,−0.04 USD,‪5.15 M‬ USD,‪25.92 M‬ USD,—,—,−0.29 USD,‪−3.09 M‬ USD,‪21.77 M‬ USD,‪8.03 M‬,0.65,95,−5 −5.00%,‪229.15 K‬ USD,‪−32.56 K‬ USD,Producer Manufacturing,Industrial Machinery,William Wentworth,dataio.com,Redmond,1969,BBG000BGWTV8
